league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2020-11-01 12:00:00,Southampton,a,1.00333,2.44855,1.00333,1.68738,7.454545454545454,7.0,2,5,4,3,0.4426,w,1,0,0,3
EPL,2020,2020-11-06 20:00:00,Southampton,h,0.985828,0.175633,0.985828,0.175633,5.685714285714286,16.75,4,0,2,0,2.1004,w,1,0,0,3
EPL,2020,2020-11-23 20:00:00,Southampton,a,1.0785,1.57479,1.0785,1.57479,12.36842105263158,12.407407407407408,10,5,1,1,0.9612,d,0,1,0,1
EPL,2020,2020-11-29 14:00:00,Southampton,h,0.498783,2.47547,0.498783,2.47547,10.62962962962963,11.964285714285714,0,9,2,3,0.2261,l,0,0,1,0
EPL,2020,2020-12-07 20:00:00,Southampton,a,1.34801,2.03376,0.586839,1.27259,6.064516129032258,9.363636363636363,5,9,2,1,0.8063,w,1,0,0,3
EPL,2020,2020-12-13 12:00:00,Southampton,h,2.27973,0.219115,2.27973,0.219115,5.222222222222222,13.214285714285714,7,1,3,0,2.7797,w,1,0,0,3
EPL,2020,2020-12-16 18:00:00,Southampton,a,1.11296,0.661135,1.11296,0.661135,9.409090909090908,17.1,11,6,1,1,1.7655,d,0,1,0,1
EPL,2020,2020-12-19 15:00:00,Southampton,h,0.586972,1.15599,0.586972,1.15599,12.142857142857142,13.083333333333334,7,8,0,1,0.7936,l,0,0,1,0
EPL,2020,2020-12-26 15:00:00,Southampton,a,0.119709,0.781855,0.119709,0.781855,4.514285714285714,8.615384615384615,0,6,0,0,0.5729,d,0,1,0,1
EPL,2020,2020-12-29 18:00:00,Southampton,h,0.670996,1.07246,0.670996,1.07246,7.894736842105263,16.894736842105264,7,7,0,0,0.9229,d,0,1,0,1
EPL,2020,2021-01-04 20:00:00,Southampton,h,0.500436,1.37204,0.500436,1.37204,19.36842105263158,5.967741935483871,2,21,1,0,0.6221,w,1,0,0,3
EPL,2020,2021-01-16 20:00:00,Southampton,a,0.378147,2.12019,0.378147,2.12019,9.521739130434783,9.821428571428571,5,9,0,2,0.251,l,0,0,1,0
